review_no,review_body,discount_text
492,"a car charger is always something i like to have multiples laying around. especially if it is a  dual charger like this model then my husband and i can charge our phones at the same time.this model is somewhat bigger than some of my other ones, however it seems to charge quiet quickly so its something im willing to over look. this charger is very easy to use and has an led indicator light that lets you know when its properly installed.there is no included cord with this either so youll want to make sure you already have one or youll want to buy one. so if your looking for a dual usb charger and dont need the cords then pick this one up.i received a sample of this product to test and review. all opinions are honest and my own.",i received a sample of this product to test and review.
998,"a fast little cardreader with a storage compartment and a captive cable.good fit for my sdhc cards. i like how the card sticks out no springloading. i have some mediacard hubs like in my dell monitors where the card has to be inserted deeply into the slot, and if the spring loaded eject mechanism doesnt work, you need pliers to pull the card out not fun.i really like the short captive cable and ability to store one card of each kind inside the lid a nice place to keep spares. and that the unit is powered by the usb bus, no additional power cable needed. theres a small blue led signaling both power and activity.i tried the reader out so far on windows 7 usb3, macos usb3 and freebsd usb2 using a transcend 16gb sdhc. on both freebsd and win7, i got steady 14.5mbs write speeds likely bound by the card, rather than the reader. macos on a 2013 macbook pro was mysteriously much slower, but i didnt have a chance to diagnose why. a sample was provided to me for review. this sort of cardreader is useful to anybody with multiple portable gadgets sooner or later youll need to get data off a device thats broken, or when the battery is dead, or want to do a 32gb transfer and not wait for usb2 on your device, or maybe the cable is missing, or you need to zero out the memory card before giving it away... for all of those scenarios, a card reader like this one is very useful. recommended.",provided to me for review.
67,"a few weeks ago i was thinking to myself that it would be really nice if there was a way to attach a cord to my iphone case!  i am very pleased that someone else thought of this as well.i like that the necklace is long, and adjustable, so you can change it to any length you like.  i had trouble at first connecting it securely to my iphone 4, but once i figured out the feel of it, i can do it easily and its very secure.  its nice to have my phone handy when i am working at my desk because it often gets buried in my paperwork.  its also handy to use when im taking walks outside.  i also like that i didnt have to remove my phone case to attach this.  the stylus is a nice idea too but i personally dont use a stylus often.the only negative i can say about it is using while reaching down to the ground.  when i have to bend over a lot, such as picking up my daughter or cleaning up the house, doing yardwork, etc, the phone bangs into things and i need to be very careful so i dont break it.  however if i wear a jacket or sweatshirt i can always tuck it into the jacket when bending over, which helps.  i dont think it would work well for jogging or running though, it would bounce around too much.another reason i love this is because i have a lot of photos and videos of my young daughter on my iphone.  after i take a video she likes to watch 34her34 videos and look at her pictures ive taken.  and she always wants to hold the phone while she views them.  with the ihangy, i can hold on to the cord while she holds the phone to keep her from accidentally dropping it.for me, this product fills a need i have and i am very happy with it.  i would recommend it for others who are looking for something like this.  i was provided a sample for review purposes.",i was provided a sample for review purposes.
854,a good looking portable battery charger.why to buy it1 it works very efficiently in charging your phone.2 it is easy to understand and work with3 good price at 304 comes with a nice pouch to hold it in5 seams to be very durable6 holds charge well7 has multiple size mini usb cords for charging!8 you use your phone while campingwhy not1 you dont have mini usb2  you dont want to carry one more thing.just so you knowfrom reading other reviews if using with an apple product use the cord that came with the apple product not the ones that came with this device.i received this item free in return for a honest review.overall a great product i would recommend to anyone i knew.,i received this item free in return for a honest review.
735,"a handy device very well executed...but i would expect no less from oxa. it is in its own case and has its own magnet which makes working with it very stable and easy. it is small and a great tool to help you stay connected.great keyboardlightweight and sleek.i received this free in exchange for an impartial review and i must say it is one of the greatest gifts i have received...its fun and  extremely functional. thanks for choosing me, oxai would absolutely recommend this to anyone who wishes to own the best and all the while enjoying it.",i received this free in exchange for an impartial review and i must say it is one of the greatest gifts i have received.
767,"a nice compact charger with foldable prongs.  the 2 usb slots has a total of 3.1a, 1.0a for for smartphones and smaller electronics and the 2.1a slot mainly for ipads and tablets.  they are labeled accordingly yet a bit tiny for those with imperfect visions.  it is rated 100240v so you can carry it for travel into other countries and can still be useful.the front glows with a blue led when plug into a wall socket.  the construction looks nice for my initial observation, looks polished without any obvious protruding sharp corners.sample item was provided for review purposes.",provided for review 
843,"a note  i did receive a free cable for this.with that said  this cable is really quite good.  takes a beating as well.  ive had it for about a month  which, in that time, i mainly used it for my xbox 360 to the tv.  games look crisp and clear  though there wasnt much of a difference between this specific cable and any other.  thanks to amazon finally bringing prime movies to the 360, i was able to watch a couple streaming hd movies on my tv, and they looked quite good as well.  here i noticed a bigger difference between clarity, though i cant really explain why.  but this cable showed movies better.this hdmi cable is also apparently compatible with the newest 1.4b standard  i cant really speak to that, as not many devices are out yet that take advantage of the new standard mainly that you can now route ethernet aka internet traffic through hdmi.  a friend has one of those hdmi cable testers, and it did show its ability to do ethernet, so youll be set for the near future when devices do take advantage of that.what really impressed me, though  was that i tend to take my xbox to a friends house, where there are 3 kids  ages 11 to 3.  they like playing kinect sports and such, and so my hardware tends to take a pounding just because  well, thats how kids are.  especially with the younger ones, the ripping of cables from the tv and stepping on the wires can be really hard on electronics, and i actually lost 2 hdmi cables just from the roughness.  so having this cable still work like a champ after intense pulls and stomps speaks well of its construction.  major props for this.especially for the price, even when it does die out, getting a new one wont cost an arm and a leg.all in all  this cable is well worth the price, especially after how i saw it hold up after when kids attack movie was over.  multiple times.",a note  i did receive a free cable for this.
133,"a power bank is essentially a portable battery charger sometimes its referred to as an external battery. you charge the power bank and take it with you to charge your mobile devices when their battery power runs low. this is especially handy for the times youre on the go  dont have access to a power source to charge your mobile device.the iflash 8400mah power bank is black with a shiny, mirrorlike  face  a white band  wraps around 3 sides. it comes with 2 white usb cables 7, and 27.5, choose the length that suits your needs or use both, 6 white connector tips nokia, apple 30 pin, 2micro usb,  mini usb  psp3, an ac usb 100240v adapterwall charger, a black drawstring carrying case  an instruction manual.it arrived with an almost full charge so it was ready to use right out of the box. with two output port choices  .6a  2a, you can charge 2 devices at once the 2a will charge your device faster than the .6a.  i was able to fully charge my ipod touch 4g  my lg cosmos prepaid phone  at the same time, and still had  plenty of power left in the 8400 power bank to charge another devices...both the phone  the ipods batteries were in the red zone when i charged them. this power bank also charged my kindle fire hd.after choosing  connecting the appropriate connecter tip  usb cable, press the power button to begin charging your device.press the power button twice to turn onoff the led flashlight. the led flashlight will operate 380 hours when fully charged.  i like having a flashlight to use for emergencies.its recommended to charge the power bank using the included usb ac 100240v adapterwall charger.approximate measurementsweight 6.6 ozsize 2.5 x .75 x 3.75this power bank also comes in whiteiflash dual usb 8400mah external battery charger source whitethis product performed perfectly for me.a sample was provided for an honest review.", sample was provided for an honest review.
139,"a power bank is essentially a portable battery charger sometimes its referred to as an external battery. you charge the power bank and take it with you to charge your mobile devices when their battery power runs low. this is especially handy for the times youre on the go  dont have access to a power source to charge your mobile device.the iflash 5600mah power bank has a refreshing white  blue design  comes with a white usb cable, 5 white connector tips nokia, apple 30 pin, micro usb, mini usb  psp3  a nice sky blue case. it arrived with an almost full charge so it was ready to use right out of the box. with an output of 1a, charging will be a little slower than some power banks. this charger is great for trips around town because of its lightweight, slim design.my kindle fire hds battery went from 20 to 74 in 4 hours when i charged it as soon as the iflash 5600 arrived in the mail. the iflashs led 25 led indicator  began blinking just before the power banks energy was depleted. shortly after the led went out  the power bank needed to be recharged.  later i charged my ipod touch  lg cosmos phone using the iflash 5600.charges one device at a time. press the power button to begin charging your device. i used the included usb cable  the appropriate  connector tip to charge my devices. press the power button twice to turn the led flashlight onoff. the led flashlight will operate 180 hours when the power bank is fully charged.to charge the power bank, connect the included usb cable to the micro usb connector tip  plug it in to the power banks in port. the power bank can be charged using your pc or a usb ac adapter not included.approximate measurmentsweight 4.5 oz.measures 1 34 x 78 x 3 58handy, portable power bank. it performed perfectly for me. i love the color, its lightweight, slim design...and the led flashlight!  the iflash 5600 also comes in black.a sample was provided for an honest, unbiased review."," sample was provided for an honest, unbiased review."
150,"a power bank is essentially a portable battery charger sometimes its referred to as an external battery. you charge the power bank and take it with you to charge your mobile devices when their battery power runs low. this is especially handy for the times youre on the go  dont have access to a power source to charge your mobile device.the iflash 3200mah power bank wont provide a wealth of power for your devices, but what it lacks in power it makes up for in portability. its slim, lightweight design also includes a builtin micro spring charging cable and a builtin led flashlight! if your device requires a micro usb connection to charge, you wont need to carry anything extra with you, only this slim, light power bank  no extra cables or connector tips, just put this power bank in your bag  go! however, because the output port is .6a, it will take longer to charge your device than power banks that feature a 1a or larger output port.it arrived with an almost full charge so it was ready to use right out of the box. you dont have to turn on the power bank to begin charging your device just plug it in  the charging begins. the 3200mah power bank charged my ipod touch 4g, kindle fire hd  my lg cosmos prepaid phone. i used the included usb cable  apple 30 pin tip to charge my ipod. i used the builtin, internal micro spring charging cable to charge my phone  kindle fire hd. it seems that only one device can be charged at a time.press  hold the power button to turn the flashlight onoff.to charge the power bank, plug the included charging cable  micro usb connector tip into a usb ac adapter or into your pc.whats in the box1 micro usb white connectortip1 apple 30 pin white connectortip1 27.5 white usb cable1 3200mah power bank with builtin micro usb internal spring charging cable1 instruction manualapproximate measurementsmeasures 4 14 x 2 14 x 38weight 3.2 ozgreat product! my purse already weighs too much this ultraslim power bank weighs a little over 3 oz i dont even feel the extra weight in my purse. i love the builtin flashlight too!the iflash 3200 also comes in whiteiflash ultra slim 3200mah portable power bank  white1 year warrantya sample was provided for an unbiased, honest review.","sample was provided for an unbiased, honest review."
166,"a power bank is essentially a portable battery charger. you charge the power bank and take it with you to charge your mobile devices when their battery power runs low. this is especially handy for the times youre on the go  dont have access to a power source to charge your mobile device. with the ability to charge 5 devices at once, the bolse aon5 external battery pack takes onthego charging to a new level. the aon5 is perfect for travelers, but a little heavy to carry around in your purse for everyday emergencies.remember, only one usb spring power wirecord is included, if you charge more than one device at a time, you will need charging cables for your other devicesthe bolse aon5 11000mah battery pack comes with a carrying pouch,  ac adapter, usb spring power wire, a travel pouch, 10 connectors for most phones to see the included connectors, hover your cursor over amazons image at the top of this page. the image will be magnified, making it easy to see each connector,  an instruction manual.after using the included ac adapter to fully charge the bolse aon5, i tested it by charging my lg cosmos phone, kindle fire hd, shoqbox, which took up two ports,  ipod touch 4g at the same time!  but i had one problem  each time i plugged my phone into this power bank, it turned the aon5 off. after experimenting a few times, i solved this problem by using the included usb spring power wire with the micromini usb connector to charge my phone. to charge the other devices, i used the cable that came with each device.you can also charge the aon5 at the same time you charge your devices...and you can use your devices while theyre charging. well, at least i didpress the on switch to display remaining battery capacity or to begin charging.the aon5 can be charged using the dc input port  the supplied ac adapter, or the micro usb input port.instructions state to unplug the charging cable promptly after the device is fully charged.importantfully charge the aon5 completely every 4 months to prolong its life span.rubber grips prevent the aon5 from slipping on smooth surfaces.read amazons  product description  technical details for design features  charging port information.approximate weight  dimensionsweighs 10.2 ouncesmeasures 5 18 x 3 18 x 34bolse aon5 performed perfectly for me.5 starsa sample was provided for an honest, unbiased review.","sample was provided for an honest, unbiased review."
524,"a tiny little powerbank, with good capacity and a solidfeeling metal case. its 3000mah capacity is easily enough to charge my nexus5s battery, or most any other smartphone or to provide a serious topoff for a tablet. the small case resembles a fashionable cigarette case from old movies.theres a very small onoff switch, a microusb input, a usb output, and an led. it seems to charge the nexus5 as quickly as the vendors ac adapter does, and the case doesnt get warm during either charge or discharge. the led flashes red when charging, and solid green when charged. one unfortunate lack is the absence of any indication of capacity remaining. so i use it once, then recharge it.considering how important mobile devices are to modern living, i really like having this kind of powerbank in every bag i use laptop case, camera bag, airline carryon, etc, and this one is so small that it doesnt add any bulk. this kind of unit fills the in transit gap, such as when im traveling and havent gotten to the rental car or hotel yet, but really need my quicklydraining smartphone battery to keep working.the packaging and instructional insert are kind of generic, but operation is so simple that the lack of detailed directions doesnt matter. a short cable is provided, with four adapter ends including miniusb and microusb, similar to other oxa products ive seen. a sample was provided to me for review. this is an elegant, compact unit that unobtrusively fits into any bag and packs enough juice to charge up any smartphone on the market.  recommended.","provided, with four adapter ends including miniusb and microusb, similar to other oxa products ive seen. a sample was provided to me for review."
939,a very simple unit thats perfect if you take multiple microusb devices with you on the road. you can charge two simultaneously and is actually ideal for traveling when power outlets arent readily available. this is the medium power option in the sabrent range and is probably the right choice for most users. i tested with a galaxy 3 and nexus 7 will good results. disclosure i received a review sample from the manufacturer.,received a review 
185,"a wall charger is a wall charger is a...true but try to plug the etronic into your wall outlet and the usb charging ports are going to be pointing either down at the floor and it would be quite difficult to stick your charging cable in or straight up, looking at the ceiling and i am not comfortable with that orientation either because plugging 4 wires into it that way could have some effect on my wall outlets structural integrity, depending on how strong the various attached wiresdevices are going to pull down. on the bright side, the illuminated charging ports could make for a nice 24hr blue night light and they only consume 0.5w.the total 2.1a output is shared by the 4 ports so plugging 4 devices at the same time will result in long charge times which probably defeats the 4port premise.its a 3 stars okay not because the vendors sent me this for review unit at no charge but because it does work to some extent and because the price appears to be a little lower than similar devices currently available at amazon.",review unit at no charge
473,"after buying many different cases, i received this case through the utry review program about four days ago and i seriously regret ever having bought other cases. initial impressions were that the case is extremely sturdy in comparison to my incipio off grid pro and mophie juicepack air. it is not nearly as sturdy as my otterbox cases or my lifeproof case but those cases do not charge the phone as well as protect them. it is much sturdier than my incipio offgrid pro which did not last long6 weeks before the bumpers chipped and snapped off. the charging mat is also far superior to the mophie usb plug which broke after less than a month of moderate use. comparisons aside, this case is better than either of the other battery cases i have purchased and i am now feeling buyers remorse for not buying unu cases in the first place. here is a brief runup of my sentiments however, if any new impressions or events occur, i will update the review accordinglyif it combusts, ill update the review.prosvery solid bumper design. my phone feels much better protected than the incipio off grid pro and equally protected as the mophie juicepack.the battery indicator, power button and capacity are as good as can be. i leave work after 1215 hour days with my phone topped off with bluetoothwifilocationfetch left on.visually pleasing and the case compliments my white iphone 5s well.it is as simple as picking up or putting down your phone to use it. i dont have to worry about the usb connector breaking from regular use like the mophie case did.usb chargeable when you dont have a mat.consthe charging mat has a small indicator light which is on the back of the case. initially, i couldnt tell that it was charging but this fear goes away so long as your settings dictate that your phone will vibrate or ring when it is receiving power.the white case is very glossy and can slip from your hands easily. however, the gloss looks incredible and should hold up better than most matte coated cases would.the power button is hard to press with the case on. maybe with some 34breaking in34 this will go away. it doesnt help that the phone has a minuscule amount of vertical movement space where it can be better suited to sit flush against the exterior power button.this case is yet another that requires an included headphone extender to function with largecurved plugs. it is strange that manufacturers leave this space so narrow. in comparison, the cavity for the headphones is larger than other cases i have used before.does not include a wall plug however i have accumulated entirely too many to feel disappointed. this should be a consideration if the case is being bought as a gift for someone who wouldnt have a usb outlet.overall, i wish i had bought this case before any of the other battery cases considering the capacity, sturdiness and unique charging abilities of this case. im now having difficulty choosing between this and my otterbox commuter wallet because of how many compliments i have received.",received this case through the utry review 
188,"after reading the other reviews i was surprised as for me, this unit works fine on the devices that tried thus far. so i was able to get my tablet and other three devices to charge overnight and all charged to 100 percent. note that i used high quality samsung usb cable that is the original cable that came with my devices. also i plugged in the tablet in the top port. so for me, this unit worked well and i am very pleased with it. for me, i plan to use this for traveling purposes as i can charge 4 devices at the same time.listed below are the devices i tested1 in top port tab 2 10.1 tablet charged very welland i used samsung usb cable to use for charging. keep in mind that i had three other devices plugged in as well. the amperage needed for the tab 2 is 1.5 amp so this charger did a superb job and charged it to 100 percent.2 samsung grand phone  this requires about one amp. it charged right along with my other devices just fine.3 samsung player 5.0  this device charged very well. this unit i selected to test because it is very finicky where charging is concerned and usually will only charge on a real samsung charger! but it charged to 100 percent on this unit with no problems.4 samsung player 4.2  same thing here this device charged very well. this unit i selected to test because it is very finicky where charging is concerned and usually will only charge on a real samsung charger! but it charged to 100 percent on this unit with no problems.one more thing i will say from my own experience about usb charging cables all are not made equal. in the past, i tried a cheap cable no name brand and the cable was thin and cheap looking. then i plugged it into my samsung charger and the device refused to charge at all. simply would not begin the charge! when i unplugged that cable and inserted the samsung cable or tried a higher end cable, the charge began. so be sure to use a high quality cable on this device.note that i received this unit for testing purposes and i did just that. and i am happy to report that i am happy with this product. this is an honest review that reflects what i discovered with this unit.",note that i received this unit for testing purposes
692,"after receiving the packaging for this battery pack, i was surprised at how small and lightweight the battery pack is. i opened up the packaging surprised to find a 100 charged battery pack immediately ready to use, this was convenient to not have to immediately charge after receiving. for the past week i have been using the battery pack fairly often. i can typically get 2 full charges on my iphone 5 while still using the phone. charging the battery pack back up takes a few hours, so i suggest charging at night. the unit itself has a couple neat features. first, the unit charges by a microusb to usb cord included just plug it in to your usb adapter or your computer and charging begins. the output of the battery pack is a single usb plug, simply insert your device cable and charging your device starts right up. this battery pack did not include any cables other than the usb to microusb. the display will show to the 1 unit how much power is left in the battery no more guessing what two out of four lit dots means. the unit will also automatically choose the output best for your mobile device if your device can only accept 1.0 amp of power, the unit will charge at 1.0 amp, otherwise the unit will quick charge at 2.1 amps. the last main feature is a flashlight. this flashlight isnt very bright, but in a pitch black situation where you need it, it would be useful. overall this is a great little unit that will get you two charges on your mobile phone. it is great for people on the go as well as anyone that cannot get to an outlet before running out of power on their mobile devices internal battery.this product was received as a free testing sample and i was not required to write a positive review.",this product was received as a free testing sample and i was not required to write a positive review.
162,"after researching external battery packs, i finally came to settle on the bolse aon 5 and am sure glad i did.  this little unit has just the right amount of features for the right price and represents a great value in my opinion.prosi like how bolse included both usb and ac charging options.  this will keep the home user happy as well the car user who has a car with a usb port.the blue leds indicate how much charge is still left on the batterythe ports are explained on the backcharges most anything that you can throw at it.  testing revealed that android devices charged faster than apple devices.comes with a nice set of adapterssleek unit with nice nylon protective caseconsno lightning adapter is included.  i dont know if this is a patent thing but am guessing that it is.  just be aware of this prior to purchasing and you will be fine.ipad adapter can pop out from the ipad when charging and holding it.  when using the ipad in bed with the spiral usb cord and the ipad adapter, i found that the short spiral cord meant that you couldnt hold the ipad up and still charge it  at least not comfortably.  i got my apple ipad cord, plugged it in and the problem was solved.  i could now charge my ipad and hold it up without the spiral cord trying to yank the adapter out in the process.features i would like to seelcd readout of juice left and estimated time till empty  fully charged againbetter labeling of ports  instead of 01, 02, 03 etc...say ipad, iphone, android if you have a specific device in mind for that port.i would like to see if there is a way you could turn this battery charger into a 5 port usb hub by plugging it into a computer.overall i am very satisfied with this product and would recommend to a friend.",  this little unit has just the right amount of features for the right price and represents a great value in my opinion.
541,"after using a couple of those battery phone cases and the small rechargeable batteries, i came upon the opportunity to try this 15000 mah battery received it as a free sample for review from maxboost. i have to say im very pleased with it overall. first, an iphone 5s has a 1900mah battery, so this battery can and will charge your phone again and again without needing to be recharged itself. this is fantastic if you are on the go all the time, dont have an outlet, or need a charge during a power outage the built in flashlight is great for the last one, too!.  its pretty easy to use, theres only one button power and all the information you need to know is displayed on the screen, so its good for less tech savvy folks. i will say it takes a bit of time to charge the phone   took about 3 hours to go from 17 to 90. the battery itself also takes a loooong time to charge, the initial charge took over 20 hours, and about 12 hours from then on.  i wouldnt recommend charging anything that has a super dead battery  i attempted to charge my ipad, which i hadnt used in months, and it took over an hour to just have enough power to turn on.. charging it fully just about drained the battery. i have not tried to charge multiple devices at once, as this was not recommended by other reviewers. the battery is also pretty heavy, but i did expect that since it is a much larger capacity than anything ive dealt with thus far. its not too heavy for a purse, but it would probably be too bulky and heavy to stick in your pocket.the instruction manual claims that the battery comes with 4 tips lightning, 30 pin apple, micro usb, and mini usb  mine did not come with the lightning tip, but i contacted customer service and was promptly mailed a lightning cable  awesome customer service on their part!proshigh capacity, can recharge my phone and smaller devices many times overeasy to useshows exact battery percentage, and has confirmation of charging in and out on screencomes with multiple tips for charging various devicescharge holds well on standby without drainingawesome for on the go without worryingconstakes a long time to charge battery, must be prepared in advancetakes significantly longer to charge phone than using an outletdoesnt do well charging devices that have been dead for a while","after using a couple of those battery phone cases and the small rechargeable batteries, i came upon the opportunity to try this 15000 mah battery received it as a free sample for review from maxboost."
